Splitting data in Training and Test Data...
Splitting Done!
Training Deep Belief Network...
[START] Pre-training step:
>> Epoch 1 finished 	RBM Reconstruction error 18.131321
>> Epoch 101 finished 	RBM Reconstruction error 6.276574
>> Epoch 102 finished 	RBM Reconstruction error 6.245554
>> Epoch 103 finished 	RBM Reconstruction error 6.212130
>> Epoch 104 finished 	RBM Reconstruction error 6.175232
>> Epoch 105 finished 	RBM Reconstruction error 6.142240
>> Epoch 106 finished 	RBM Reconstruction error 6.105970
>> Epoch 107 finished 	RBM Reconstruction error 6.070591
>> Epoch 108 finished 	RBM Reconstruction error 6.037513
>> Epoch 109 finished 	RBM Reconstruction error 6.006523
>> Epoch 110 finished 	RBM Reconstruction error 5.970926
>> Epoch 111 finished 	RBM Reconstruction error 5.937957
>> Epoch 112 finished 	RBM Reconstruction error 5.902680
>> Epoch 113 finished 	RBM Reconstruction error 5.873157
>> Epoch 114 finished 	RBM Reconstruction error 5.842451
>> Epoch 115 finished 	RBM Reconstruction error 5.807076
>> Epoch 116 finished 	RBM Reconstruction error 5.774682
>> Epoch 117 finished 	RBM Reconstruction error 5.740669
>> Epoch 118 finished 	RBM Reconstruction error 5.707143
>> Epoch 119 finished 	RBM Reconstruction error 5.677499
>> Epoch 120 finished 	RBM Reconstruction error 5.651324
>> Epoch 121 finished 	RBM Reconstruction error 5.616573
>> Epoch 122 finished 	RBM Reconstruction error 5.586797
>> Epoch 123 finished 	RBM Reconstruction error 5.552690
>> Epoch 124 finished 	RBM Reconstruction error 5.521003
>> Epoch 125 finished 	RBM Reconstruction error 5.492521
>> Epoch 126 finished 	RBM Reconstruction error 5.462137
>> Epoch 127 finished 	RBM Reconstruction error 5.434502
>> Epoch 128 finished 	RBM Reconstruction error 5.406670
>> Epoch 129 finished 	RBM Reconstruction error 5.379452
>> Epoch 130 finished 	RBM Reconstruction error 5.350161
>> Epoch 131 finished 	RBM Reconstruction error 5.320752
>> Epoch 132 finished 	RBM Reconstruction error 5.293665
>> Epoch 133 finished 	RBM Reconstruction error 5.264453
>> Epoch 134 finished 	RBM Reconstruction error 5.234613
>> Epoch 135 finished 	RBM Reconstruction error 5.207560
>> Epoch 136 finished 	RBM Reconstruction error 5.184247
>> Epoch 137 finished 	RBM Reconstruction error 5.156917
>> Epoch 138 finished 	RBM Reconstruction error 5.131573
>> Epoch 139 finished 	RBM Reconstruction error 5.105625
>> Epoch 140 finished 	RBM Reconstruction error 5.078909
>> Epoch 141 finished 	RBM Reconstruction error 5.055073
>> Epoch 142 finished 	RBM Reconstruction error 5.026860
>> Epoch 143 finished 	RBM Reconstruction error 4.999464
>> Epoch 144 finished 	RBM Reconstruction error 4.975509
>> Epoch 145 finished 	RBM Reconstruction error 4.952522
>> Epoch 146 finished 	RBM Reconstruction error 4.928556
>> Epoch 147 finished 	RBM Reconstruction error 4.904763
>> Epoch 148 finished 	RBM Reconstruction error 4.882303
>> Epoch 149 finished 	RBM Reconstruction error 4.855409
>> Epoch 150 finished 	RBM Reconstruction error 4.836582
>> Epoch 151 finished 	RBM Reconstruction error 4.813153
>> Epoch 152 finished 	RBM Reconstruction error 4.787630
>> Epoch 153 finished 	RBM Reconstruction error 4.764858
>> Epoch 154 finished 	RBM Reconstruction error 4.740792
>> Epoch 155 finished 	RBM Reconstruction error 4.720416
>> Epoch 156 finished 	RBM Reconstruction error 4.695849
>> Epoch 157 finished 	RBM Reconstruction error 4.673407
>> Epoch 158 finished 	RBM Reconstruction error 4.653071
>> Epoch 159 finished 	RBM Reconstruction error 4.629689
>> Epoch 160 finished 	RBM Reconstruction error 4.609474
>> Epoch 161 finished 	RBM Reconstruction error 4.585674
>> Epoch 162 finished 	RBM Reconstruction error 4.566528
>> Epoch 163 finished 	RBM Reconstruction error 4.542301
>> Epoch 164 finished 	RBM Reconstruction error 4.521900
>> Epoch 165 finished 	RBM Reconstruction error 4.502538
>> Epoch 166 finished 	RBM Reconstruction error 4.481507
>> Epoch 167 finished 	RBM Reconstruction error 4.462270
>> Epoch 168 finished 	RBM Reconstruction error 4.444335
>> Epoch 169 finished 	RBM Reconstruction error 4.425979
>> Epoch 170 finished 	RBM Reconstruction error 4.406645
>> Epoch 171 finished 	RBM Reconstruction error 4.383842
>> Epoch 172 finished 	RBM Reconstruction error 4.361994
>> Epoch 173 finished 	RBM Reconstruction error 4.343748
>> Epoch 174 finished 	RBM Reconstruction error 4.326401
>> Epoch 175 finished 	RBM Reconstruction error 4.307907
>> Epoch 176 finished 	RBM Reconstruction error 4.291244
>> Epoch 177 finished 	RBM Reconstruction error 4.272861
>> Epoch 178 finished 	RBM Reconstruction error 4.255440
>> Epoch 179 finished 	RBM Reconstruction error 4.239359
>> Epoch 180 finished 	RBM Reconstruction error 4.221446
>> Epoch 181 finished 	RBM Reconstruction error 4.204250
>> Epoch 182 finished 	RBM Reconstruction error 4.183480
>> Epoch 183 finished 	RBM Reconstruction error 4.166290
>> Epoch 184 finished 	RBM Reconstruction error 4.149201
>> Epoch 185 finished 	RBM Reconstruction error 4.131464
>> Epoch 186 finished 	RBM Reconstruction error 4.116839
>> Epoch 187 finished 	RBM Reconstruction error 4.102858
>> Epoch 188 finished 	RBM Reconstruction error 4.083283
>> Epoch 189 finished 	RBM Reconstruction error 4.064787
>> Epoch 190 finished 	RBM Reconstruction error 4.049090
>> Epoch 191 finished 	RBM Reconstruction error 4.030588
>> Epoch 192 finished 	RBM Reconstruction error 4.014514
>> Epoch 193 finished 	RBM Reconstruction error 3.998234
>> Epoch 194 finished 	RBM Reconstruction error 3.980237
>> Epoch 195 finished 	RBM Reconstruction error 3.961631
>> Epoch 196 finished 	RBM Reconstruction error 3.947815
>> Epoch 197 finished 	RBM Reconstruction error 3.932509
>> Epoch 198 finished 	RBM Reconstruction error 3.914254
>> Epoch 199 finished 	RBM Reconstruction error 3.898984
>> Epoch 200 finished 	RBM Reconstruction error 3.882259
>> Epoch 1 finished 	RBM Reconstruction error 14.129042
>> Epoch 2 finished 	RBM Reconstruction error 13.711595
>> Epoch 3 finished 	RBM Reconstruction error 13.290878
>> Epoch 4 finished 	RBM Reconstruction error 12.853900
>> Epoch 5 finished 	RBM Reconstruction error 12.387330
>> Epoch 6 finished 	RBM Reconstruction error 11.868907
>> Epoch 7 finished 	RBM Reconstruction error 11.279689
>> Epoch 8 finished 	RBM Reconstruction error 10.678222
>> Epoch 9 finished 	RBM Reconstruction error 10.050404
>> Epoch 10 finished 	RBM Reconstruction error 9.513937
>> Epoch 11 finished 	RBM Reconstruction error 9.141282
>> Epoch 12 finished 	RBM Reconstruction error 8.886756
>> Epoch 13 finished 	RBM Reconstruction error 8.762506
>> Epoch 14 finished 	RBM Reconstruction error 8.684849
>> Epoch 15 finished 	RBM Reconstruction error 8.627378
>> Epoch 16 finished 	RBM Reconstruction error 8.580114
>> Epoch 17 finished 	RBM Reconstruction error 8.527965
>> Epoch 18 finished 	RBM Reconstruction error 8.473817
>> Epoch 19 finished 	RBM Reconstruction error 8.414103
>> Epoch 20 finished 	RBM Reconstruction error 8.349321
>> Epoch 21 finished 	RBM Reconstruction error 8.284056
>> Epoch 22 finished 	RBM Reconstruction error 8.207761
>> Epoch 23 finished 	RBM Reconstruction error 8.123961
>> Epoch 24 finished 	RBM Reconstruction error 8.022930
>> Epoch 25 finished 	RBM Reconstruction error 7.920028
>> Epoch 26 finished 	RBM Reconstruction error 7.810543
>> Epoch 27 finished 	RBM Reconstruction error 7.687075
>> Epoch 28 finished 	RBM Reconstruction error 7.555365
>> Epoch 29 finished 	RBM Reconstruction error 7.413972
>> Epoch 30 finished 	RBM Reconstruction error 7.262378
>> Epoch 31 finished 	RBM Reconstruction error 7.103597
>> Epoch 32 finished 	RBM Reconstruction error 6.939575
>> Epoch 33 finished 	RBM Reconstruction error 6.768816
>> Epoch 34 finished 	RBM Reconstruction error 6.598402
>> Epoch 35 finished 	RBM Reconstruction error 6.430490
>> Epoch 36 finished 	RBM Reconstruction error 6.243343
>> Epoch 37 finished 	RBM Reconstruction error 6.068182
>> Epoch 38 finished 	RBM Reconstruction error 5.888981
>> Epoch 39 finished 	RBM Reconstruction error 5.723321
>> Epoch 40 finished 	RBM Reconstruction error 5.554431
>> Epoch 41 finished 	RBM Reconstruction error 5.396370
>> Epoch 42 finished 	RBM Reconstruction error 5.248509
>> Epoch 43 finished 	RBM Reconstruction error 5.107045
>> Epoch 44 finished 	RBM Reconstruction error 4.969969
>> Epoch 45 finished 	RBM Reconstruction error 4.835309
>> Epoch 46 finished 	RBM Reconstruction error 4.709046
>> Epoch 47 finished 	RBM Reconstruction error 4.585648
>> Epoch 48 finished 	RBM Reconstruction error 4.466456
>> Epoch 49 finished 	RBM Reconstruction error 4.353706
>> Epoch 50 finished 	RBM Reconstruction error 4.247020
>> Epoch 51 finished 	RBM Reconstruction error 4.147023
>> Epoch 52 finished 	RBM Reconstruction error 4.045312
>> Epoch 53 finished 	RBM Reconstruction error 3.957113
>> Epoch 54 finished 	RBM Reconstruction error 3.862554
>> Epoch 55 finished 	RBM Reconstruction error 3.777791
>> Epoch 56 finished 	RBM Reconstruction error 3.696946
>> Epoch 57 finished 	RBM Reconstruction error 3.622119
>> Epoch 58 finished 	RBM Reconstruction error 3.550966
>> Epoch 59 finished 	RBM Reconstruction error 3.480072
>> Epoch 60 finished 	RBM Reconstruction error 3.417415
>> Epoch 61 finished 	RBM Reconstruction error 3.357730
>> Epoch 62 finished 	RBM Reconstruction error 3.301021
>> Epoch 63 finished 	RBM Reconstruction error 3.245849
>> Epoch 64 finished 	RBM Reconstruction error 3.185971
>> Epoch 65 finished 	RBM Reconstruction error 3.133328
>> Epoch 66 finished 	RBM Reconstruction error 3.082618
>> Epoch 67 finished 	RBM Reconstruction error 3.037627
>> Epoch 68 finished 	RBM Reconstruction error 2.988219
>> Epoch 69 finished 	RBM Reconstruction error 2.946434
>> Epoch 70 finished 	RBM Reconstruction error 2.905241
>> Epoch 71 finished 	RBM Reconstruction error 2.864705
>> Epoch 72 finished 	RBM Reconstruction error 2.822551
>> Epoch 73 finished 	RBM Reconstruction error 2.785251
>> Epoch 74 finished 	RBM Reconstruction error 2.750174
>> Epoch 75 finished 	RBM Reconstruction error 2.719600
>> Epoch 76 finished 	RBM Reconstruction error 2.682802
>> Epoch 77 finished 	RBM Reconstruction error 2.650110
>> Epoch 78 finished 	RBM Reconstruction error 2.616282
>> Epoch 79 finished 	RBM Reconstruction error 2.583515
>> Epoch 80 finished 	RBM Reconstruction error 2.556318
>> Epoch 81 finished 	RBM Reconstruction error 2.521750
>> Epoch 82 finished 	RBM Reconstruction error 2.490300
>> Epoch 83 finished 	RBM Reconstruction error 2.460975
>> Epoch 84 finished 	RBM Reconstruction error 2.432498
>> Epoch 85 finished 	RBM Reconstruction error 2.404301
>> Epoch 86 finished 	RBM Reconstruction error 2.379723
>> Epoch 87 finished 	RBM Reconstruction error 2.351764
>> Epoch 88 finished 	RBM Reconstruction error 2.328582
>> Epoch 89 finished 	RBM Reconstruction error 2.300241
>> Epoch 90 finished 	RBM Reconstruction error 2.270682
>> Epoch 91 finished 	RBM Reconstruction error 2.244060
>> Epoch 92 finished 	RBM Reconstruction error 2.222653
>> Epoch 93 finished 	RBM Reconstruction error 2.194818
>> Epoch 94 finished 	RBM Reconstruction error 2.170869
>> Epoch 95 finished 	RBM Reconstruction error 2.147745
>> Epoch 96 finished 	RBM Reconstruction error 2.121488
>> Epoch 97 finished 	RBM Reconstruction error 2.096960
>> Epoch 98 finished 	RBM Reconstruction error 2.073299
>> Epoch 99 finished 	RBM Reconstruction error 2.047218
>> Epoch 100 finished 	RBM Reconstruction error 2.023599
>> Epoch 101 finished 	RBM Reconstruction error 1.998669
>> Epoch 102 finished 	RBM Reconstruction error 1.973769
>> Epoch 103 finished 	RBM Reconstruction error 1.954943
>> Epoch 104 finished 	RBM Reconstruction error 1.933015
>> Epoch 105 finished 	RBM Reconstruction error 1.909998
>> Epoch 106 finished 	RBM Reconstruction error 1.885383
>> Epoch 107 finished 	RBM Reconstruction error 1.862861
>> Epoch 108 finished 	RBM Reconstruction error 1.840672
>> Epoch 109 finished 	RBM Reconstruction error 1.817595
>> Epoch 110 finished 	RBM Reconstruction error 1.796425
>> Epoch 111 finished 	RBM Reconstruction error 1.775447
>> Epoch 112 finished 	RBM Reconstruction error 1.756878
>> Epoch 113 finished 	RBM Reconstruction error 1.733783
>> Epoch 114 finished 	RBM Reconstruction error 1.711816
>> Epoch 115 finished 	RBM Reconstruction error 1.693183
>> Epoch 116 finished 	RBM Reconstruction error 1.673264
>> Epoch 117 finished 	RBM Reconstruction error 1.649854
>> Epoch 118 finished 	RBM Reconstruction error 1.634850
>> Epoch 119 finished 	RBM Reconstruction error 1.614406
>> Epoch 120 finished 	RBM Reconstruction error 1.592762
>> Epoch 121 finished 	RBM Reconstruction error 1.572248
>> Epoch 122 finished 	RBM Reconstruction error 1.555803
>> Epoch 123 finished 	RBM Reconstruction error 1.540446
>> Epoch 124 finished 	RBM Reconstruction error 1.522191
>> Epoch 125 finished 	RBM Reconstruction error 1.506850
>> Epoch 126 finished 	RBM Reconstruction error 1.489041
>> Epoch 127 finished 	RBM Reconstruction error 1.471426
>> Epoch 128 finished 	RBM Reconstruction error 1.456713
>> Epoch 129 finished 	RBM Reconstruction error 1.438866
>> Epoch 130 finished 	RBM Reconstruction error 1.420633
>> Epoch 131 finished 	RBM Reconstruction error 1.403077
>> Epoch 132 finished 	RBM Reconstruction error 1.387395
>> Epoch 133 finished 	RBM Reconstruction error 1.371186
>> Epoch 134 finished 	RBM Reconstruction error 1.352823
>> Epoch 135 finished 	RBM Reconstruction error 1.338717
>> Epoch 136 finished 	RBM Reconstruction error 1.323295
>> Epoch 137 finished 	RBM Reconstruction error 1.311826
>> Epoch 138 finished 	RBM Reconstruction error 1.296506
>> Epoch 139 finished 	RBM Reconstruction error 1.283188
>> Epoch 140 finished 	RBM Reconstruction error 1.271637
>> Epoch 141 finished 	RBM Reconstruction error 1.259885
>> Epoch 142 finished 	RBM Reconstruction error 1.247180
>> Epoch 143 finished 	RBM Reconstruction error 1.237431
>> Epoch 144 finished 	RBM Reconstruction error 1.223900
>> Epoch 145 finished 	RBM Reconstruction error 1.212442
>> Epoch 146 finished 	RBM Reconstruction error 1.199162
>> Epoch 147 finished 	RBM Reconstruction error 1.187795
>> Epoch 148 finished 	RBM Reconstruction error 1.177731
>> Epoch 149 finished 	RBM Reconstruction error 1.164664
>> Epoch 150 finished 	RBM Reconstruction error 1.154881
>> Epoch 151 finished 	RBM Reconstruction error 1.146077
>> Epoch 152 finished 	RBM Reconstruction error 1.139935
>> Epoch 153 finished 	RBM Reconstruction error 1.130407
>> Epoch 154 finished 	RBM Reconstruction error 1.120692
>> Epoch 155 finished 	RBM Reconstruction error 1.112073
>> Epoch 156 finished 	RBM Reconstruction error 1.100748
>> Epoch 157 finished 	RBM Reconstruction error 1.090012
>> Epoch 158 finished 	RBM Reconstruction error 1.081769
>> Epoch 159 finished 	RBM Reconstruction error 1.070446
>> Epoch 160 finished 	RBM Reconstruction error 1.063085
>> Epoch 161 finished 	RBM Reconstruction error 1.053343
>> Epoch 162 finished 	RBM Reconstruction error 1.046992
>> Epoch 163 finished 	RBM Reconstruction error 1.036054
>> Epoch 164 finished 	RBM Reconstruction error 1.029662
>> Epoch 165 finished 	RBM Reconstruction error 1.022187
>> Epoch 166 finished 	RBM Reconstruction error 1.014719
>> Epoch 167 finished 	RBM Reconstruction error 1.005895
>> Epoch 168 finished 	RBM Reconstruction error 0.997894
>> Epoch 169 finished 	RBM Reconstruction error 0.992788
>> Epoch 170 finished 	RBM Reconstruction error 0.982219
>> Epoch 171 finished 	RBM Reconstruction error 0.976348
>> Epoch 172 finished 	RBM Reconstruction error 0.969738
>> Epoch 173 finished 	RBM Reconstruction error 0.962978
>> Epoch 174 finished 	RBM Reconstruction error 0.956248
>> Epoch 175 finished 	RBM Reconstruction error 0.948140
>> Epoch 176 finished 	RBM Reconstruction error 0.941901
>> Epoch 177 finished 	RBM Reconstruction error 0.936090
>> Epoch 178 finished 	RBM Reconstruction error 0.926927
>> Epoch 179 finished 	RBM Reconstruction error 0.922566
>> Epoch 180 finished 	RBM Reconstruction error 0.915043
>> Epoch 181 finished 	RBM Reconstruction error 0.909928
>> Epoch 182 finished 	RBM Reconstruction error 0.905468
>> Epoch 183 finished 	RBM Reconstruction error 0.898364
>> Epoch 184 finished 	RBM Reconstruction error 0.894516
>> Epoch 185 finished 	RBM Reconstruction error 0.883800
>> Epoch 186 finished 	RBM Reconstruction error 0.879780
>> Epoch 187 finished 	RBM Reconstruction error 0.875824
>> Epoch 188 finished 	RBM Reconstruction error 0.870401
>> Epoch 189 finished 	RBM Reconstruction error 0.864076
>> Epoch 190 finished 	RBM Reconstruction error 0.859376
>> Epoch 191 finished 	RBM Reconstruction error 0.854321
>> Epoch 192 finished 	RBM Reconstruction error 0.848899
>> Epoch 193 finished 	RBM Reconstruction error 0.841722
>> Epoch 194 finished 	RBM Reconstruction error 0.836729
>> Epoch 195 finished 	RBM Reconstruction error 0.831856
>> Epoch 196 finished 	RBM Reconstruction error 0.823745
>> Epoch 197 finished 	RBM Reconstruction error 0.818376
>> Epoch 198 finished 	RBM Reconstruction error 0.815185
>> Epoch 199 finished 	RBM Reconstruction error 0.809821
>> Epoch 200 finished 	RBM Reconstruction error 0.803514
>> Epoch 1 finished 	RBM Reconstruction error 12.910898
>> Epoch 2 finished 	RBM Reconstruction error 12.502088
>> Epoch 3 finished 	RBM Reconstruction error 12.097045
>> Epoch 4 finished 	RBM Reconstruction error 11.675352
>> Epoch 5 finished 	RBM Reconstruction error 11.214495
>> Epoch 6 finished 	RBM Reconstruction error 10.735352
>> Epoch 7 finished 	RBM Reconstruction error 10.170421
>> Epoch 8 finished 	RBM Reconstruction error 9.582067
>> Epoch 9 finished 	RBM Reconstruction error 8.987169
>> Epoch 10 finished 	RBM Reconstruction error 8.450436
>> Epoch 11 finished 	RBM Reconstruction error 8.049639
>> Epoch 12 finished 	RBM Reconstruction error 7.798740
>> Epoch 13 finished 	RBM Reconstruction error 7.657961
>> Epoch 14 finished 	RBM Reconstruction error 7.581236
>> Epoch 15 finished 	RBM Reconstruction error 7.527041
>> Epoch 16 finished 	RBM Reconstruction error 7.479541
>> Epoch 17 finished 	RBM Reconstruction error 7.429117
>> Epoch 18 finished 	RBM Reconstruction error 7.375958
>> Epoch 19 finished 	RBM Reconstruction error 7.315656
>> Epoch 20 finished 	RBM Reconstruction error 7.251902
>> Epoch 21 finished 	RBM Reconstruction error 7.183200
>> Epoch 22 finished 	RBM Reconstruction error 7.107744
>> Epoch 23 finished 	RBM Reconstruction error 7.027765
>> Epoch 24 finished 	RBM Reconstruction error 6.935802
>> Epoch 25 finished 	RBM Reconstruction error 6.838401
>> Epoch 26 finished 	RBM Reconstruction error 6.737409
>> Epoch 27 finished 	RBM Reconstruction error 6.619392
>> Epoch 28 finished 	RBM Reconstruction error 6.486377
>> Epoch 29 finished 	RBM Reconstruction error 6.346546
>> Epoch 30 finished 	RBM Reconstruction error 6.198895
>> Epoch 31 finished 	RBM Reconstruction error 6.042154
>> Epoch 32 finished 	RBM Reconstruction error 5.887965
>> Epoch 33 finished 	RBM Reconstruction error 5.725995
>> Epoch 34 finished 	RBM Reconstruction error 5.564525
>> Epoch 35 finished 	RBM Reconstruction error 5.399063
>> Epoch 36 finished 	RBM Reconstruction error 5.242271
>> Epoch 37 finished 	RBM Reconstruction error 5.080561
>> Epoch 38 finished 	RBM Reconstruction error 4.924697
>> Epoch 39 finished 	RBM Reconstruction error 4.766816
>> Epoch 40 finished 	RBM Reconstruction error 4.620692
>> Epoch 41 finished 	RBM Reconstruction error 4.484972
>> Epoch 42 finished 	RBM Reconstruction error 4.345382
>> Epoch 43 finished 	RBM Reconstruction error 4.216495
>> Epoch 44 finished 	RBM Reconstruction error 4.090346
>> Epoch 45 finished 	RBM Reconstruction error 3.965911
>> Epoch 46 finished 	RBM Reconstruction error 3.845184
>> Epoch 47 finished 	RBM Reconstruction error 3.731227
>> Epoch 48 finished 	RBM Reconstruction error 3.620227
>> Epoch 49 finished 	RBM Reconstruction error 3.506006
>> Epoch 50 finished 	RBM Reconstruction error 3.397278
>> Epoch 51 finished 	RBM Reconstruction error 3.291175
>> Epoch 52 finished 	RBM Reconstruction error 3.186613
>> Epoch 53 finished 	RBM Reconstruction error 3.084037
>> Epoch 54 finished 	RBM Reconstruction error 2.991287
>> Epoch 55 finished 	RBM Reconstruction error 2.904081
>> Epoch 56 finished 	RBM Reconstruction error 2.819086
>> Epoch 57 finished 	RBM Reconstruction error 2.730808
>> Epoch 58 finished 	RBM Reconstruction error 2.658867
>> Epoch 59 finished 	RBM Reconstruction error 2.580703
>> Epoch 60 finished 	RBM Reconstruction error 2.505919
>> Epoch 61 finished 	RBM Reconstruction error 2.435301
>> Epoch 62 finished 	RBM Reconstruction error 2.373927
>> Epoch 63 finished 	RBM Reconstruction error 2.314985
>> Epoch 64 finished 	RBM Reconstruction error 2.256570
>> Epoch 65 finished 	RBM Reconstruction error 2.197481
>> Epoch 66 finished 	RBM Reconstruction error 2.144783
>> Epoch 67 finished 	RBM Reconstruction error 2.091083
>> Epoch 68 finished 	RBM Reconstruction error 2.042082
>> Epoch 69 finished 	RBM Reconstruction error 1.991351
>> Epoch 70 finished 	RBM Reconstruction error 1.945950
>> Epoch 71 finished 	RBM Reconstruction error 1.904845
>> Epoch 72 finished 	RBM Reconstruction error 1.863915
>> Epoch 73 finished 	RBM Reconstruction error 1.826220
>> Epoch 74 finished 	RBM Reconstruction error 1.793274
>> Epoch 75 finished 	RBM Reconstruction error 1.756774
>> Epoch 76 finished 	RBM Reconstruction error 1.723571
>> Epoch 77 finished 	RBM Reconstruction error 1.689424
>> Epoch 78 finished 	RBM Reconstruction error 1.657651
